filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:04,25.062797,121.562711,8.4785,80.03,60,0,0,13532299.087969877,2883459.7941129403
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:05,25.0628,121.562728,5.0671,80.03,60,1,60,13532300.980401222,2883460.162783991
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:06,25.0628,121.562744,0.0,80.03,60,2,120,13532302.761513073,2883460.162783991
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:07,25.0628,121.562744,0.0,80.03,60,3,180,13532302.761513073,2883460.162783991
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:08,25.0628,121.562744,0.0,80.03,60,4,240,13532302.761513073,2883460.162783991
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:09,25.062806,121.562761,0.0,80.03,60,5,300,13532304.653944414,2883460.900126119
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:10,25.062806,121.562778,13.6326,84.62,60,6,360,13532306.546375757,2883460.900126119
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:11,25.062806,121.562825,17.8718,82.98,60,7,420,13532311.778391825,2883460.900126119
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:12,25.062814,121.562875,21.9832,82.62,60,8,480,13532317.344366368,2883461.883249013
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:13,25.062822,121.562956,26.2873,83.12,60,9,540,13532326.36124512,2883462.866371971
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:14,25.062825,121.563022,28.7171,81.8,60,10,600,13532333.708331514,2883463.235043097
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:15,25.062839,121.563103,30.8969,80.98,60,11,660,13532342.725210266,2883464.9555084696
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:16,25.06285,121.5632,32.4489,81.57,60,12,720,13532353.523200873,2883466.307302829
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:17,25.062861,121.563281,33.5156,80.81,60,13,780,13532362.540079629,2883467.65909731
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:18,25.062875,121.563378,35.6899,81.3,60,14,840,13532373.338070234,2883469.3795631886
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:19,25.062892,121.563478,36.9252,80.12,60,15,900,13532384.470019314,2883471.468700591
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:20,25.062906,121.563575,37.7697,81.19,60,16,960,13532395.268009922,2883473.189166905
20250408135504_000038A,2025-04-08 13:55:04,2025:04:08 13:55:21,25.062914,121.563689,38.8846,83.85,60,17,1020,13532407.958431872,2883474.172290601
