filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:10,25.054839,121.616586,0.0,0.71,60,0,0,13538296.425536364,2882481.8644741257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:11,25.054839,121.616586,0.0,0.71,60,1,60,13538296.425536364,2882481.8644741257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:12,25.054839,121.616586,0.0,0.71,60,2,120,13538296.425536364,2882481.8644741257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:13,25.054839,121.616586,0.0,0.71,60,3,180,13538296.425536364,2882481.8644741257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:14,25.054833,121.616586,0.0,0.71,60,4,240,13538296.425536364,2882481.127179933
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:15,25.054833,121.616586,0.0,0.71,60,5,300,13538296.425536364,2882481.127179933
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:16,25.054833,121.616586,0.0,0.71,60,6,360,13538296.425536364,2882481.127179933
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:17,25.054831,121.616586,0.0,0.71,60,7,420,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:18,25.054831,121.616586,0.0,0.71,60,8,480,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:19,25.054831,121.616586,0.0,0.71,60,9,540,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:20,25.054831,121.616586,0.0,0.71,60,10,600,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:21,25.054831,121.616586,0.0,0.71,60,11,660,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:22,25.054825,121.616586,0.0,0.71,60,12,720,13538296.425536364,2882480.1441210667
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:23,25.054825,121.616586,0.0,0.71,60,13,780,13538296.425536364,2882480.1441210667
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:24,25.054825,121.616586,0.0,0.71,60,14,840,13538296.425536364,2882480.1441210667
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:25,25.054825,121.616586,0.0,0.71,60,15,900,13538296.425536364,2882480.1441210667
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:26,25.054825,121.616586,0.0,0.71,60,16,960,13538296.425536364,2882480.1441210667
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:27,25.054831,121.616586,6.8302,6.66,60,17,1020,13538296.425536364,2882480.88141521
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:28,25.054856,121.616586,10.0545,9.42,60,18,1080,13538296.425536364,2882483.953474532
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:29,25.054886,121.616586,13.4992,10.84,60,19,1140,13538296.425536364,2882487.639946545
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:30,25.054931,121.616603,18.1829,7.77,60,20,1200,13538298.317967705,2882493.169656257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:31,25.054983,121.616603,20.6257,9.44,60,21,1260,13538298.317967705,2882499.5595455626
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:32,25.055042,121.616617,23.3741,9.26,60,22,1320,13538299.876440577,2882506.809615559
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:33,25.055106,121.616617,25.7595,10.09,60,23,1380,13538299.876440577,2882514.6741022123
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:34,25.055175,121.616633,29.5301,9.81,60,24,1440,13538301.657552429,2882523.1530064866
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:35,25.055258,121.61665,33.9212,9.09,60,25,1500,13538303.549983773,2882533.352274474
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:36,25.055347,121.616667,37.303,8.86,60,26,1560,13538305.44241512,2882544.2888466176
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:37,25.055453,121.616683,40.9107,5.99,60,27,1620,13538307.223526971,2882557.314437283
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:38,25.055558,121.616683,42.6442,6.08,60,28,1680,13538307.223526971,2882570.2171561257
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:39,25.055672,121.6167,45.7055,4.49,60,29,1740,13538309.115958313,2882584.225834814
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:40,25.055789,121.6167,46.9871,4.36,60,30,1800,13538309.115958313,2882598.6031764895
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:41,25.055908,121.616717,48.0075,4.15,60,31,1860,13538311.008389656,2882613.226298768
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:42,25.056031,121.616731,49.1206,4.35,60,32,1920,13538312.566862527,2882628.340969492
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:43,25.056156,121.616731,50.1725,4.46,60,33,1980,13538312.566862527,2882643.7014227607
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:44,25.056278,121.616747,50.304,4.72,60,34,2040,13538314.347974382,2882658.6932402574
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:45,25.056408,121.616764,52.1523,1.61,60,35,2100,13538316.240405723,2882674.668144178
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:46,25.056539,121.616764,50.9263,2.5,60,36,2160,13538316.240405723,2882690.7659491166
20250408105610_000016A,2025-04-08 10:56:10,2025:04:08 10:56:47,25.056664,121.616781,48.5891,4.89,60,37,2220,13538318.132837068,2882706.126466055
