filename,datetime,lat,lon,speed,azimuth
20250408134504_000036A,2025:04:08 13:45:04,25.062167,121.558283,0.0,81.5
20250408134504_000036A,2025:04:08 13:45:05,25.062167,121.558283,0.0,81.5
20250408134504_000036A,2025:04:08 13:45:06,25.062167,121.558283,0.0,81.5
20250408134504_000036A,2025:04:08 13:45:07,25.062167,121.558283,0.0,81.5
20250408134504_000036A,2025:04:08 13:45:08,25.062167,121.5583,0.0,81.5
20250408134504_000036A,2025:04:08 13:45:09,25.062167,121.558317,8.9229,81.62
20250408134504_000036A,2025:04:08 13:45:10,25.062169,121.55835,12.025,81.26
20250408134504_000036A,2025:04:08 13:45:11,25.062178,121.558383,14.9401,81.31
20250408134504_000036A,2025:04:08 13:45:12,25.062183,121.558414,15.0364,81.74
20250408134504_000036A,2025:04:08 13:45:13,25.062186,121.558464,15.6068,82.04
20250408134504_000036A,2025:04:08 13:45:14,25.062194,121.558511,17.4977,82.33
20250408134504_000036A,2025:04:08 13:45:15,25.0622,121.558561,20.109,82.35
20250408134504_000036A,2025:04:08 13:45:16,25.062208,121.558611,22.6889,82.5
20250408134504_000036A,2025:04:08 13:45:17,25.062214,121.558675,25.2113,82.23
20250408134504_000036A,2025:04:08 13:45:18,25.062222,121.558756,26.8799,82.04
20250408134504_000036A,2025:04:08 13:45:19,25.062231,121.558839,27.9911,82.1
20250408134504_000036A,2025:04:08 13:45:20,25.062244,121.558903,29.1912,81.7
20250408134504_000036A,2025:04:08 13:45:21,25.062256,121.558983,30.3061,82.33
20250408134504_000036A,2025:04:08 13:45:22,25.062269,121.559083,31.1673,83.61
20250408134504_000036A,2025:04:08 13:45:23,25.062275,121.559164,32.4378,84.52
20250408134504_000036A,2025:04:08 13:45:24,25.062283,121.559261,33.7934,83.68
20250408134504_000036A,2025:04:08 13:45:25,25.062297,121.559342,35.251,83.46
20250408134504_000036A,2025:04:08 13:45:26,25.062306,121.559439,36.5789,84.19
20250408134504_000036A,2025:04:08 13:45:27,25.062317,121.559553,37.6789,83.85
20250408134504_000036A,2025:04:08 13:45:28,25.062325,121.559653,37.0437,82.26
20250408134504_000036A,2025:04:08 13:45:29,25.062336,121.55975,35.4547,82.21
20250408134504_000036A,2025:04:08 13:45:30,25.06235,121.559847,33.7601,82.27
20250408134504_000036A,2025:04:08 13:45:31,25.062361,121.559928,31.8655,82.75
20250408134504_000036A,2025:04:08 13:45:32,25.062369,121.560011,28.4023,82.45
20250408134504_000036A,2025:04:08 13:45:33,25.062378,121.560092,22.75,83.18
20250408134504_000036A,2025:04:08 13:45:34,25.062378,121.560139,15.5216,97.39
20250408134504_000036A,2025:04:08 13:45:35,25.062369,121.560172,10.2064,113.66
20250408134504_000036A,2025:04:08 13:45:36,25.062353,121.560189,10.2249,143.95
20250408134504_000036A,2025:04:08 13:45:37,25.062333,121.560206,8.9248,158.41
20250408134504_000036A,2025:04:08 13:45:38,25.062308,121.560206,9.7674,170.55
20250408134504_000036A,2025:04:08 13:45:39,25.062281,121.560206,13.0436,174.57
20250408134504_000036A,2025:04:08 13:45:40,25.062244,121.560206,14.929,173.21
20250408134504_000036A,2025:04:08 13:45:41,25.062203,121.560222,18.5015,170.25
20250408134504_000036A,2025:04:08 13:45:42,25.06215,121.560222,22.0092,173.01
20250408134504_000036A,2025:04:08 13:45:43,25.062089,121.560239,24.5612,173.96
20250408134504_000036A,2025:04:08 13:45:44,25.062025,121.560239,26.8873,174.87
20250408134504_000036A,2025:04:08 13:45:45,25.061956,121.560239,28.5615,174.85
20250408134504_000036A,2025:04:08 13:45:46,25.061881,121.560253,29.982,174.4
20250408134504_000036A,2025:04:08 13:45:47,25.061806,121.560253,30.3821,175.08
20250408134504_000036A,2025:04:08 13:45:48,25.061731,121.560253,28.8597,175.54
20250408134504_000036A,2025:04:08 13:45:49,25.061658,121.560269,28.9319,175.64
20250408134504_000036A,2025:04:08 13:45:50,25.061583,121.560269,29.8968,176.36
20250408134504_000036A,2025:04:08 13:45:51,25.061511,121.560269,29.9487,174.69
20250408134504_000036A,2025:04:08 13:45:52,25.061433,121.560286,30.8414,172.01
20250408134504_000036A,2025:04:08 13:45:53,25.061356,121.560286,31.697,174.99
20250408134504_000036A,2025:04:08 13:45:54,25.061275,121.560303,31.7507,174.43
20250408134504_000036A,2025:04:08 13:45:55,25.061197,121.560303,31.6636,175.75
20250408134504_000036A,2025:04:08 13:45:56,25.061117,121.560303,32.3137,175.19
20250408134504_000036A,2025:04:08 13:45:57,25.061039,121.560319,30.2876,177.94
20250408134504_000036A,2025:04:08 13:45:58,25.060969,121.560319,23.9019,180.88
20250408134504_000036A,2025:04:08 13:45:59,25.060922,121.560303,16.6365,190.11
20250408134504_000036A,2025:04:08 13:46:00,25.060897,121.560303,7.8562,196.23
20250408134504_000036A,2025:04:08 13:46:01,25.060889,121.560303,0.0,196.23
20250408134504_000036A,2025:04:08 13:46:02,25.060889,121.560303,0.0,196.23
20250408134504_000036A,2025:04:08 13:46:03,25.060889,121.560303,0.0,196.23
20250408134504_000036A,2025:04:08 13:46:04,25.060892,121.560303,0.0,196.23
20250408134504_000036A,2025:04:08 13:46:05,25.060897,121.560319,0.0,196.23
20250408134504_000036A,2025:04:08 13:46:06,25.060897,121.560319,0.0,196.23
