filename,datetime,lat,lon,speed,azimuth
20250408100610_000006A,2025:04:08 10:06:10,25.071622,121.581381,10.1582,136.73
20250408100610_000006A,2025:04:08 10:06:11,25.071606,121.581397,8.1988,136.76
20250408100610_000006A,2025:04:08 10:06:12,25.071589,121.581414,4.9097,136.76
20250408100610_000006A,2025:04:08 10:06:13,25.071586,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:14,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:15,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:16,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:17,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:18,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:19,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:20,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:21,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:22,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:23,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:24,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:25,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:26,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:27,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:28,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:29,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:30,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:31,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:32,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:33,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:34,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:35,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:36,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:37,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:38,25.071583,121.581414,0.0,136.76
20250408100610_000006A,2025:04:08 10:06:39,25.071583,121.581414,3.1336,136.76
20250408100610_000006A,2025:04:08 10:06:40,25.071578,121.581414,9.4915,135.15
20250408100610_000006A,2025:04:08 10:06:41,25.071553,121.581444,14.1141,132.27
