filename,datetime,lat,lon,speed,azimuth
20250408134004_000035A,2025:04:08 13:40:04,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:05,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:06,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:07,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:08,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:09,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:10,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:11,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:12,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:13,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:14,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:15,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:16,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:17,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:18,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:19,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:20,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:21,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:22,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:23,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:24,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:25,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:26,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:27,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:28,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:29,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:30,25.062306,121.543147,0.0,87.11
20250408134004_000035A,2025:04:08 13:40:31,25.062306,121.543147,0.0,96.19
20250408134004_000035A,2025:04:08 13:40:32,25.062306,121.543147,5.3782,96.19
20250408134004_000035A,2025:04:08 13:40:33,25.062306,121.543164,10.0712,90.94
20250408134004_000035A,2025:04:08 13:40:34,25.062306,121.543197,12.1713,90.65
20250408134004_000035A,2025:04:08 13:40:35,25.062306,121.543228,13.977,90.23
20250408134004_000035A,2025:04:08 13:40:36,25.062306,121.543278,12.001,90.28
20250408134004_000035A,2025:04:08 13:40:37,25.062306,121.543311,11.1305,90.56
20250408134004_000035A,2025:04:08 13:40:38,25.062308,121.543344,13.6437,90.78
20250408134004_000035A,2025:04:08 13:40:39,25.062308,121.543375,16.0605,90.97
20250408134004_000035A,2025:04:08 13:40:40,25.062306,121.543425,16.5773,90.48
20250408134004_000035A,2025:04:08 13:40:41,25.062306,121.543472,16.5698,91.07
20250408134004_000035A,2025:04:08 13:40:42,25.062306,121.543522,18.5219,93.31
20250408134004_000035A,2025:04:08 13:40:43,25.062306,121.543572,20.7146,92.61
20250408134004_000035A,2025:04:08 13:40:44,25.062306,121.543636,23.1741,93.32
20250408134004_000035A,2025:04:08 13:40:45,25.062306,121.5437,25.5983,96.68
20250408134004_000035A,2025:04:08 13:40:46,25.062292,121.543783,28.1226,101.1
20250408134004_000035A,2025:04:08 13:40:47,25.062275,121.543847,29.732,103.65
20250408134004_000035A,2025:04:08 13:40:48,25.062253,121.543928,31.7859,110.3
20250408134004_000035A,2025:04:08 13:40:49,25.062228,121.544011,30.9654,111.05
20250408134004_000035A,2025:04:08 13:40:50,25.062203,121.544092,29.3264,110.35
20250408134004_000035A,2025:04:08 13:40:51,25.062175,121.544156,27.0577,116.55
20250408134004_000035A,2025:04:08 13:40:52,25.06215,121.544222,28.4041,114.75
20250408134004_000035A,2025:04:08 13:40:53,25.062122,121.544286,27.48,113.95
20250408134004_000035A,2025:04:08 13:40:54,25.062114,121.544353,27.4263,106.41
20250408134004_000035A,2025:04:08 13:40:55,25.062106,121.544433,28.1745,99.07
20250408134004_000035A,2025:04:08 13:40:56,25.062106,121.544531,27.8319,97.02
20250408134004_000035A,2025:04:08 13:40:57,25.062097,121.544614,29.0042,94.44
20250408134004_000035A,2025:04:08 13:40:58,25.062094,121.544694,28.5301,93.18
20250408134004_000035A,2025:04:08 13:40:59,25.062094,121.544775,28.4393,92.82
20250408134004_000035A,2025:04:08 13:41:00,25.062094,121.544856,28.8005,90.65
20250408134004_000035A,2025:04:08 13:41:01,25.062094,121.544939,29.2134,90.63
20250408134004_000035A,2025:04:08 13:41:02,25.062094,121.545019,29.3468,91.93
20250408134004_000035A,2025:04:08 13:41:03,25.062089,121.545117,28.4671,90.1
20250408134004_000035A,2025:04:08 13:41:04,25.062094,121.545197,27.2818,90.29
20250408134004_000035A,2025:04:08 13:41:05,25.062094,121.545281,28.4986,90.86
20250408134004_000035A,2025:04:08 13:41:06,25.062089,121.545361,30.2765,89.99
20250408134004_000035A,2025:04:08 13:41:07,25.062086,121.545442,32.9675,90.67
20250408134004_000035A,2025:04:08 13:41:08,25.062086,121.545542,32.91,91.56
20250408134004_000035A,2025:04:08 13:41:09,25.062086,121.545639,31.2229,90.11
20250408134004_000035A,2025:04:08 13:41:10,25.062086,121.545719,29.6376,91.53
20250408134004_000035A,2025:04:08 13:41:11,25.062081,121.5458,29.5487,90.88
20250408134004_000035A,2025:04:08 13:41:12,25.062081,121.545883,28.7893,90.67
20250408134004_000035A,2025:04:08 13:41:13,25.062081,121.545964,28.8319,89.98
20250408134004_000035A,2025:04:08 13:41:14,25.062081,121.546044,29.7505,90.43
20250408134004_000035A,2025:04:08 13:41:15,25.062078,121.546125,31.134,90.92
20250408134004_000035A,2025:04:08 13:41:16,25.062078,121.546208,32.4674,91.38
20250408134004_000035A,2025:04:08 13:41:17,25.062078,121.546306,33.4545,90.77
20250408134004_000035A,2025:04:08 13:41:18,25.062072,121.546403,33.999,91.33
20250408134004_000035A,2025:04:08 13:41:19,25.062069,121.5465,33.9083,90.12
20250408134004_000035A,2025:04:08 13:41:20,25.062069,121.546597,33.3564,91.21
20250408134004_000035A,2025:04:08 13:41:21,25.062064,121.546681,34.1398,91.4
20250408134004_000035A,2025:04:08 13:41:22,25.062061,121.546778,35.4714,91.72
20250408134004_000035A,2025:04:08 13:41:23,25.062056,121.546892,36.4418,91.17
20250408134004_000035A,2025:04:08 13:41:24,25.062056,121.546989,36.3474,90.72
20250408134004_000035A,2025:04:08 13:41:25,25.062053,121.547086,36.0307,90.73
20250408134004_000035A,2025:04:08 13:41:26,25.062053,121.547183,36.1362,91.06
20250408134004_000035A,2025:04:08 13:41:27,25.062047,121.547281,35.6992,92.34
20250408134004_000035A,2025:04:08 13:41:28,25.062047,121.547381,33.9657,90.65
20250408134004_000035A,2025:04:08 13:41:29,25.062044,121.547478,33.8972,89.59
20250408134004_000035A,2025:04:08 13:41:30,25.062044,121.547558,33.486,90.43
20250408134004_000035A,2025:04:08 13:41:31,25.062044,121.547656,34.212,91.01
20250408134004_000035A,2025:04:08 13:41:32,25.062039,121.547753,36.0955,93.98
20250408134004_000035A,2025:04:08 13:41:33,25.062028,121.547853,36.2344,95.96
20250408134004_000035A,2025:04:08 13:41:34,25.062017,121.54795,33.5749,96.35
20250408134004_000035A,2025:04:08 13:41:35,25.062003,121.548047,33.4545,99.85
20250408134004_000035A,2025:04:08 13:41:36,25.061983,121.548128,33.5768,104.02
20250408134004_000035A,2025:04:08 13:41:37,25.061958,121.548225,33.1601,103.91
20250408134004_000035A,2025:04:08 13:41:38,25.061939,121.548308,30.3043,103.46
20250408134004_000035A,2025:04:08 13:41:39,25.061919,121.548389,26.6466,102.13
20250408134004_000035A,2025:04:08 13:41:40,25.061906,121.548453,24.1167,101.26
20250408134004_000035A,2025:04:08 13:41:41,25.061889,121.548503,22.5629,102.07
20250408134004_000035A,2025:04:08 13:41:42,25.061881,121.548567,22.074,101.8
20250408134004_000035A,2025:04:08 13:41:43,25.061869,121.548633,23.6908,104.22
20250408134004_000035A,2025:04:08 13:41:44,25.061853,121.548697,25.6743,102.88
20250408134004_000035A,2025:04:08 13:41:45,25.061836,121.548764,27.4207,101.22
20250408134004_000035A,2025:04:08 13:41:46,25.061825,121.548828,28.9616,100.74
20250408134004_000035A,2025:04:08 13:41:47,25.061808,121.548908,29.8431,100.76
20250408134004_000035A,2025:04:08 13:41:48,25.061797,121.548992,29.4209,101.4
20250408134004_000035A,2025:04:08 13:41:49,25.061781,121.549072,27.9411,102.44
20250408134004_000035A,2025:04:08 13:41:50,25.061767,121.549153,27.2355,101.94
20250408134004_000035A,2025:04:08 13:41:51,25.06175,121.549219,28.8634,103.44
20250408134004_000035A,2025:04:08 13:41:52,25.061736,121.549317,28.9579,101.57
20250408134004_000035A,2025:04:08 13:41:53,25.061719,121.549397,28.919,102.05
20250408134004_000035A,2025:04:08 13:41:54,25.061706,121.549464,29.0486,102.01
20250408134004_000035A,2025:04:08 13:41:55,25.061689,121.549544,29.8968,101.95
20250408134004_000035A,2025:04:08 13:41:56,25.061675,121.549625,29.832,102.95
20250408134004_000035A,2025:04:08 13:41:57,25.061661,121.549708,30.445,102.18
20250408134004_000035A,2025:04:08 13:41:58,25.06165,121.549789,30.5765,101.75
20250408134004_000035A,2025:04:08 13:41:59,25.061633,121.549869,29.3227,100.99
20250408134004_000035A,2025:04:08 13:42:00,25.061622,121.54995,28.256,102.34
20250408134004_000035A,2025:04:08 13:42:01,25.061608,121.550017,25.2372,101.3
20250408134004_000035A,2025:04:08 13:42:02,25.0616,121.550081,17.4829,100.69
20250408134004_000035A,2025:04:08 13:42:03,25.061592,121.550114,14.4623,101.08
