filename,datetime,lat,lon,speed,azimuth
20250408104610_000014A,2025:04:08 10:46:10,25.063761,121.611197,44.6017,151.3
20250408104610_000014A,2025:04:08 10:46:11,25.063658,121.611264,45.6796,148.69
20250408104610_000014A,2025:04:08 10:46:12,25.063567,121.611328,46.7223,145.45
20250408104610_000014A,2025:04:08 10:46:13,25.063469,121.611408,46.6834,141.47
20250408104610_000014A,2025:04:08 10:46:14,25.063378,121.611492,47.6038,137.62
20250408104610_000014A,2025:04:08 10:46:15,25.063289,121.611589,48.6261,135.51
20250408104610_000014A,2025:04:08 10:46:16,25.0632,121.611686,49.7077,135.23
20250408104610_000014A,2025:04:08 10:46:17,25.063111,121.611783,50.404,135.25
20250408104610_000014A,2025:04:08 10:46:18,25.063017,121.611881,50.4096,135.07
20250408104610_000014A,2025:04:08 10:46:19,25.062928,121.611981,49.4169,135.18
20250408104610_000014A,2025:04:08 10:46:20,25.062842,121.612094,49.4725,135.22
20250408104610_000014A,2025:04:08 10:46:21,25.062747,121.612192,50.1133,135.36
20250408104610_000014A,2025:04:08 10:46:22,25.062658,121.612289,51.3226,135.02
20250408104610_000014A,2025:04:08 10:46:23,25.062564,121.612386,50.6078,136.19
20250408104610_000014A,2025:04:08 10:46:24,25.062467,121.612483,50.9393,137.06
20250408104610_000014A,2025:04:08 10:46:25,25.062369,121.612581,51.3541,135.67
20250408104610_000014A,2025:04:08 10:46:26,25.062281,121.612694,51.3171,134.02
20250408104610_000014A,2025:04:08 10:46:27,25.062186,121.612792,49.8855,134.64
20250408104610_000014A,2025:04:08 10:46:28,25.0621,121.612892,48.3872,135.47
20250408104610_000014A,2025:04:08 10:46:29,25.062017,121.612989,47.5168,136.16
20250408104610_000014A,2025:04:08 10:46:30,25.061931,121.613069,46.6,137.6
20250408104610_000014A,2025:04:08 10:46:31,25.061842,121.613167,46.2537,137.84
20250408104610_000014A,2025:04:08 10:46:32,25.061756,121.61325,45.1721,139.41
20250408104610_000014A,2025:04:08 10:46:33,25.061669,121.613314,42.759,141.7
20250408104610_000014A,2025:04:08 10:46:34,25.061583,121.613394,39.5458,143.74
20250408104610_000014A,2025:04:08 10:46:35,25.061508,121.613444,36.1362,143.31
20250408104610_000014A,2025:04:08 10:46:36,25.061442,121.613508,32.5748,142.07
20250408104610_000014A,2025:04:08 10:46:37,25.061378,121.613558,28.5189,143.74
20250408104610_000014A,2025:04:08 10:46:38,25.061328,121.613606,24.8835,145.99
20250408104610_000014A,2025:04:08 10:46:39,25.061283,121.613639,22.4277,148.35
20250408104610_000014A,2025:04:08 10:46:40,25.061242,121.613672,18.0477,148.26
20250408104610_000014A,2025:04:08 10:46:41,25.061211,121.613689,13.5752,146.4
