filename,datetime,lat,lon,speed,azimuth
20250408141504_000042A,2025:04:08 14:15:04,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:05,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:06,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:07,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:08,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:09,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:10,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:11,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:12,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:13,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:14,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:15,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:16,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:17,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:18,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:19,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:20,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:21,25.069617,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:22,25.069619,121.583578,0.0,323.46
20250408141504_000042A,2025:04:08 14:15:23,25.069625,121.583578,6.3431,315.43
20250408141504_000042A,2025:04:08 14:15:24,25.069642,121.583561,10.9972,315.79
20250408141504_000042A,2025:04:08 14:15:25,25.069661,121.583528,15.9513,315.55
20250408141504_000042A,2025:04:08 14:15:26,25.069697,121.583497,20.1664,316.31
20250408141504_000042A,2025:04:08 14:15:27,25.069733,121.583447,24.3668,315.3
20250408141504_000042A,2025:04:08 14:15:28,25.069783,121.583397,27.4189,315.31
20250408141504_000042A,2025:04:08 14:15:29,25.069836,121.58335,30.2765,315.59
20250408141504_000042A,2025:04:08 14:15:30,25.069897,121.583283,32.9675,315.89
