filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:04,25.039822,121.532878,48.6798,0.98,60,0,0,13528978.09360104,2880636.652965495
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:05,25.039942,121.532878,47.076,0.61,60,1,60,13528978.09360104,2880651.397050929
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:06,25.040058,121.532878,45.6055,0.74,60,2,120,13528978.09360104,2880665.6496805605
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:07,25.040172,121.532878,44.8128,0.8,60,3,180,13528978.09360104,2880679.6565883323
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:08,25.040286,121.532878,45.1277,1.18,60,4,240,13528978.09360104,2880693.663509123
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:09,25.0404,121.532878,45.9407,1.28,60,5,300,13528978.09360104,2880707.670442934
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:10,25.040514,121.532894,46.7778,1.56,60,6,360,13528979.874712892,2880721.677389764
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:11,25.040636,121.532894,46.8704,1.68,60,7,420,13528979.874712892,2880736.6672946536
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:12,25.040756,121.532894,46.9667,1.15,60,8,480,13528979.874712892,2880751.411477944
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:13,25.040869,121.532894,47.852,0.87,60,9,540,13528979.874712892,2880765.2955970652
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:14,25.040986,121.532894,47.3593,359.8,60,10,600,13528979.874712892,2880779.6712029083
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:15,25.041106,121.532894,46.4204,359.06,60,11,660,13528979.874712892,2880794.415428276
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:16,25.041219,121.532894,45.2184,358.48,60,12,720,13528979.874712892,2880808.2995870197
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:17,25.041328,121.532894,44.1832,359.34,60,13,780,13528979.874712892,2880821.692283239
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:18,25.041439,121.532894,43.1368,358.58,60,14,840,13528979.874712892,2880835.330729236
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:19,25.04155,121.532894,42.2163,358.43,60,15,900,13528979.874712892,2880848.9691875773
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:20,25.04165,121.532878,40.8347,358.87,60,16,960,13528978.09360104,2880861.2560975538
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:21,25.041747,121.532878,37.8049,359.76,60,17,1020,13528978.09360104,2880873.1744098035
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:22,25.041833,121.532878,32.9212,359.55,60,18,1080,13528978.09360104,2880883.7411687537
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:23,25.041911,121.532878,27.1022,359.43,60,19,1140,13528978.09360104,2880893.3249797914
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:24,25.041967,121.532861,21.6814,358.96,60,20,1200,13528976.201169696,2880900.2056683977
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:25,25.042008,121.532861,16.2494,359.2,60,21,1260,13528976.201169696,2880905.2433174057
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:26,25.042036,121.532861,11.0379,1.19,60,22,1320,13528976.201169696,2880908.683664038
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:27,25.042058,121.532844,7.4136,356.35,60,23,1380,13528974.308738353,2880911.386794085
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:28,25.042072,121.532844,4.0448,356.35,60,24,1440,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:29,25.042069,121.532828,0.0,356.35,60,25,1500,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:30,25.042069,121.532828,0.0,356.35,60,26,1560,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:31,25.042069,121.532828,0.0,356.35,60,27,1620,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:32,25.042069,121.532828,0.0,356.35,60,28,1680,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:33,25.042069,121.532828,0.0,356.35,60,29,1740,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:34,25.042069,121.532828,0.0,356.35,60,30,1800,13528972.527626501,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:35,25.042069,121.532844,0.0,356.35,60,31,1860,13528974.308738353,2880912.7383592906
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:36,25.042072,121.532844,0.0,356.35,60,32,1920,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:37,25.042072,121.532844,0.0,356.35,60,33,1980,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:38,25.042072,121.532844,0.0,356.35,60,34,2040,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:39,25.042072,121.532844,0.0,356.35,60,35,2100,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:40,25.042072,121.532844,0.0,356.35,60,36,2160,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:41,25.042072,121.532844,0.0,356.35,60,37,2220,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:42,25.042072,121.532844,0.0,356.35,60,38,2280,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:43,25.042072,121.532844,0.0,356.35,60,39,2340,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:44,25.042072,121.532844,0.0,356.35,60,40,2400,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:45,25.042072,121.532844,0.0,356.35,60,41,2460,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:46,25.042072,121.532844,0.0,356.35,60,42,2520,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:47,25.042072,121.532844,0.0,356.35,60,43,2580,13528974.308738353,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:48,25.042072,121.532861,0.0,356.35,60,44,2640,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:49,25.042072,121.532861,0.0,356.35,60,45,2700,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:50,25.042072,121.532861,0.0,356.35,60,46,2760,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:51,25.042072,121.532861,0.0,356.35,60,47,2820,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:52,25.042072,121.532861,0.0,356.35,60,48,2880,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:53,25.042072,121.532861,0.0,356.35,60,49,2940,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:54,25.042072,121.532861,0.0,356.35,60,50,3000,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:55,25.042072,121.532861,0.0,356.35,60,51,3060,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:56,25.042072,121.532861,0.0,356.35,60,52,3120,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:57,25.042072,121.532861,0.0,356.35,60,53,3180,13528976.201169696,2880913.1069680043
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:58,25.042078,121.532861,0.0,356.35,60,54,3240,13528976.201169696,2880913.8441854585
20250408133004_000033A,2025-04-08 13:30:04,2025:04:08 13:30:59,25.042078,121.532861,0.0,356.35,60,55,3300,13528976.201169696,2880913.8441854585
