filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:04,25.022961,121.534456,0.0,184.0,60,0,0,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:05,25.022961,121.534456,0.0,184.0,60,1,60,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:06,25.022961,121.534456,0.0,184.0,60,2,120,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:07,25.022961,121.534456,0.0,184.0,60,3,180,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:08,25.022961,121.534456,0.0,184.0,60,4,240,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:09,25.022961,121.534456,0.0,184.0,60,5,300,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:10,25.022961,121.534456,0.0,184.0,60,6,360,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:11,25.022961,121.534456,0.0,184.0,60,7,420,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:12,25.022961,121.534456,0.0,184.0,60,8,480,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:13,25.022961,121.534456,0.0,184.0,60,9,540,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:14,25.022961,121.534456,0.0,184.0,60,10,600,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:15,25.022961,121.534456,0.0,184.0,60,11,660,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:16,25.022961,121.534456,0.0,184.0,60,12,720,13529153.755757513,2878565.1294653765
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:17,25.022967,121.534456,0.0,184.0,60,13,780,13529153.755757513,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:18,25.022967,121.534456,0.0,184.0,60,14,840,13529153.755757513,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:19,25.022967,121.534439,0.0,184.0,60,15,900,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:20,25.022967,121.534439,0.0,184.0,60,16,960,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:21,25.022967,121.534439,0.0,184.0,60,17,1020,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:22,25.022967,121.534439,0.0,184.0,60,18,1080,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:23,25.022967,121.534439,0.0,184.0,60,19,1140,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:24,25.022967,121.534439,0.0,184.0,60,20,1200,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:25,25.022967,121.534439,0.0,184.0,60,21,1260,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:26,25.022967,121.534439,0.0,184.0,60,22,1320,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:27,25.022967,121.534439,0.0,184.0,60,23,1380,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:28,25.022967,121.534439,0.0,184.0,60,24,1440,13529151.86332617,2878565.866568005
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:29,25.022969,121.534439,0.0,184.0,60,25,1500,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:30,25.022969,121.534439,0.0,184.0,60,26,1560,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:31,25.022969,121.534439,0.0,184.0,60,27,1620,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:32,25.022969,121.534439,0.0,184.0,60,28,1680,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:33,25.022969,121.534439,0.0,184.0,60,29,1740,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:34,25.022969,121.534439,0.0,184.0,60,30,1800,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:35,25.022969,121.534439,0.0,184.0,60,31,1860,13529151.86332617,2878566.112268889
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:36,25.022975,121.534439,0.0,184.0,60,32,1920,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:37,25.022975,121.534439,0.0,184.0,60,33,1980,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:38,25.022975,121.534439,0.0,184.0,60,34,2040,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:39,25.022975,121.534439,0.0,184.0,60,35,2100,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:40,25.022975,121.534439,0.0,184.0,60,36,2160,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:41,25.022975,121.534439,0.0,184.0,60,37,2220,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:42,25.022975,121.534439,0.0,184.0,60,38,2280,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:43,25.022975,121.534439,0.0,184.0,60,39,2340,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:44,25.022975,121.534439,0.0,184.0,60,40,2400,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:45,25.022975,121.534439,0.0,184.0,60,41,2460,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:46,25.022975,121.534439,0.0,184.0,60,42,2520,13529151.86332617,2878566.849371566
20250408132004_000031A,2025-04-08 13:20:04,2025:04:08 13:20:47,25.022975,121.534439,0.0,184.0,60,43,2580,13529151.86332617,2878566.849371566
