filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:04,25.077678,121.578222,3.1114,212.54,60,0,0,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:05,25.077678,121.578222,0.0,230.04,60,1,60,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:06,25.077678,121.578222,0.0,230.04,60,2,120,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:07,25.077678,121.578222,0.0,230.04,60,3,180,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:08,25.077678,121.578222,0.0,230.04,60,4,240,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:09,25.077678,121.578222,2.4558,173.5,60,5,300,13534025.76459157,2885288.6364775617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:10,25.077672,121.578222,4.467,199.39,60,6,360,13534025.76459157,2885287.899045897
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:11,25.077664,121.578222,0.0,199.39,60,7,420,13534025.76459157,2885286.9158037314
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:12,25.077653,121.578222,0.0,199.39,60,8,480,13534025.76459157,2885285.5638458617
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:13,25.077644,121.578206,0.0,199.39,60,9,540,13534023.983479718,2885284.4576986027
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:14,25.077628,121.578206,0.0,199.39,60,10,600,13534023.983479718,2885282.4912147885
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:15,25.077617,121.578189,0.0,199.39,60,11,660,13534022.091048375,2885281.139257315
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:16,25.077608,121.578189,5.5449,210.62,60,12,720,13534022.091048375,2885280.033110382
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:17,25.077592,121.578175,7.271,214.66,60,13,780,13534020.532575503,2885278.066627145
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:18,25.077581,121.578158,7.1376,214.34,60,14,840,13534018.64014416,2885276.7146700686
20250408142004_000043A,2025-04-08 14:20:04,2025:04:08 14:20:19,25.077572,121.578158,5.6264,214.93,60,15,900,13534018.64014416,2885275.6085234615
