filename,datetime,lat,lon,speed,azimuth
20250408132504_000032A,2025:04:08 13:25:04,25.015356,121.532031,11.7972,342.53
20250408132504_000032A,2025:04:08 13:25:05,25.015389,121.532031,11.3028,8.73
20250408132504_000032A,2025:04:08 13:25:06,25.015422,121.532047,11.6769,29.33
20250408132504_000032A,2025:04:08 13:25:07,25.015447,121.532064,12.7195,43.49
20250408132504_000032A,2025:04:08 13:25:08,25.015469,121.532097,13.2474,49.06
20250408132504_000032A,2025:04:08 13:25:09,25.015494,121.532128,12.3139,50.02
20250408132504_000032A,2025:04:08 13:25:10,25.015519,121.532161,11.4991,49.58
20250408132504_000032A,2025:04:08 13:25:11,25.015539,121.532178,10.5786,46.24
20250408132504_000032A,2025:04:08 13:25:12,25.015561,121.532211,10.4879,44.9
20250408132504_000032A,2025:04:08 13:25:13,25.015589,121.532228,12.8658,46.37
20250408132504_000032A,2025:04:08 13:25:14,25.015608,121.532258,16.681,48.89
20250408132504_000032A,2025:04:08 13:25:15,25.015642,121.532308,18.0033,47.44
20250408132504_000032A,2025:04:08 13:25:16,25.015675,121.532342,20.3739,44.23
20250408132504_000032A,2025:04:08 13:25:17,25.015719,121.532372,21.5628,46.91
20250408132504_000032A,2025:04:08 13:25:18,25.015758,121.532422,23.2611,50.17
20250408132504_000032A,2025:04:08 13:25:19,25.0158,121.532469,24.3927,50.01
20250408132504_000032A,2025:04:08 13:25:20,25.01585,121.532519,25.602,51.1
20250408132504_000032A,2025:04:08 13:25:21,25.015897,121.532583,27.2244,48.07
20250408132504_000032A,2025:04:08 13:25:22,25.01595,121.532633,28.7227,47.66
20250408132504_000032A,2025:04:08 13:25:23,25.016008,121.532697,29.8524,47.7
20250408132504_000032A,2025:04:08 13:25:24,25.016064,121.532747,28.7523,45.1
20250408132504_000032A,2025:04:08 13:25:25,25.016117,121.532797,27.2874,40.86
20250408132504_000032A,2025:04:08 13:25:26,25.016175,121.532844,28.4986,26.66
20250408132504_000032A,2025:04:08 13:25:27,25.016239,121.532861,28.0948,19.8
20250408132504_000032A,2025:04:08 13:25:28,25.016308,121.532894,28.0689,18.45
20250408132504_000032A,2025:04:08 13:25:29,25.016378,121.532911,29.4598,20.99
20250408132504_000032A,2025:04:08 13:25:30,25.016456,121.532942,31.1469,26.7
20250408132504_000032A,2025:04:08 13:25:31,25.016528,121.532992,32.6045,32.18
