filename,starttime,datetime,lat,lon,speed,azimuth,fps,sec,frame,lon3857,lat3857
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:10,25.079211,121.566717,29.4357,116.57,60,0,0,13532745.033849992,2885477.0514522367
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:11,25.079186,121.566797,27.2577,114.93,60,1,60,13532753.939409258,2885473.978782064
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:12,25.079164,121.566861,23.1667,112.63,60,2,120,13532761.063856667,2885471.2748328303
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:13,25.079147,121.566911,19.9534,106.08,60,3,180,13532766.629831206,2885469.1854178463
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:14,25.079125,121.566958,15.7902,115.36,60,4,240,13532771.861847274,2885466.481469474
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:15,25.079103,121.566992,18.0866,115.37,60,5,300,13532775.646709962,2885463.7775215874
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:16,25.079081,121.567042,21.4536,115.56,60,6,360,13532781.212684501,2885461.0735741872
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:17,25.079064,121.567122,27.7652,111.84,60,7,420,13532790.118243763,2885458.984160619
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:18,25.079042,121.567203,29.3023,111.21,60,8,480,13532799.135122519,2885456.2802140797
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:19,25.079011,121.567286,31.3173,112.97,60,9,540,13532808.374640254,2885452.470108418
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:20,25.078967,121.56735,30.571,111.06,60,10,600,13532815.499087665,2885447.062218166
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:21,25.078911,121.567417,31.6525,113.8,60,11,660,13532822.95749355,2885440.1794515667
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:22,25.078875,121.567497,32.6526,115.99,60,12,720,13532831.863052811,2885435.7548175575
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:23,25.078842,121.567578,33.5323,115.38,60,13,780,13532840.879931567,2885431.6989041925
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:24,25.078808,121.567658,34.2305,115.55,60,14,840,13532849.78549083,2885427.5200855043
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:25,25.078775,121.567742,33.6638,116.8,60,15,900,13532859.136328056,2885423.464174359
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:26,25.078744,121.567822,33.5842,115.19,60,16,960,13532868.04188732,2885419.654077006
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:27,25.078714,121.567903,33.5193,112.94,60,17,1020,13532877.058766074,2885415.9668869376
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:28,25.078694,121.568,33.1489,110.83,60,18,1080,13532887.856756682,2885413.508760727
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:29,25.078661,121.5681,33.5027,112.94,60,19,1140,13532898.988705762,2885409.452853358
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:30,25.078633,121.568181,33.8935,113.87,60,20,1200,13532908.005584516,2885406.0114782657
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:31,25.078606,121.568278,32.9489,111.94,60,21,1260,13532918.803575123,2885402.693010173
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:32,25.078569,121.568358,31.1895,110.99,60,22,1320,13532927.709134387,2885398.1454810104
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:33,25.078544,121.568442,30.4802,111.64,60,23,1380,13532937.059971614,2885395.0728269494
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:34,25.078519,121.568522,29.5931,111.2,60,24,1440,13532945.965530876,2885392.0001735156
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:35,25.078492,121.568586,28.8486,111.84,60,25,1500,13532953.089978287,2885388.681708512
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:36,25.078464,121.568669,26.7151,112.05,60,26,1560,13532962.329496022,2885385.2403381704
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:37,25.078433,121.568733,25.0705,113.04,60,27,1620,13532969.453943433,2885381.4302504957
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:38,25.078411,121.5688,23.3093,114.8,60,28,1680,13532976.912349317,2885378.7263178914
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:39,25.078394,121.568847,21.6703,112.98,60,29,1740,13532982.144365385,2885376.6369157583
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:40,25.078372,121.568897,16.5847,111.07,60,30,1800,13532987.710339924,2885373.9329840164
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:41,25.078353,121.568944,12.2139,112.04,60,31,1860,13532992.942355989,2885371.5977706304
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:42,25.078342,121.568961,9.147,121.6,60,32,1920,13532994.834787335,2885370.2458051513
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:43,25.078336,121.568994,8.0321,135.43,60,33,1980,13532998.508330531,2885369.5083694863
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:44,25.078325,121.569011,8.1081,158.78,60,34,2040,13533000.400761874,2885368.1564041954
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:45,25.078303,121.569011,11.149,182.42,60,35,2100,13533000.400761874,2885365.452473977
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:46,25.078272,121.569011,15.9698,192.89,60,36,2160,13533000.400761874,2885361.6423913124
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:47,25.078236,121.569011,19.2256,191.76,60,37,2220,13533000.400761874,2885357.217780397
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:48,25.078206,121.569011,19.083,189.37,60,38,2280,13533000.400761874,2885353.530605627
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:49,25.078167,121.569011,18.2348,197.23,60,39,2340,13533000.400761874,2885348.7372797774
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:50,25.078122,121.569011,19.0015,201.96,60,40,2400,13533000.400761874,2885343.206521079
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:51,25.078081,121.569011,18.8978,205.51,60,41,2460,13533000.400761874,2885338.167387146
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:52,25.078044,121.568978,19.0034,207.17,60,42,2520,13532996.727218676,2885333.6198774837
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:53,25.078011,121.568961,17.1032,211.78,60,43,2580,13532994.834787335,2885329.563991647
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:54,25.077994,121.568928,13.4937,216.28,60,44,2640,13532991.161244137,2885327.4745963407
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:55,25.077967,121.568914,13.49,205.33,60,45,2700,13532989.602771267,2885324.1561455657
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:56,25.077942,121.568881,11.5083,207.7,60,46,2760,13532985.92922807,2885321.083506613
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:57,25.077922,121.568881,7.0228,212.94,60,47,2820,13532985.92922807,2885318.6253959024
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:58,25.077906,121.568864,0.0,212.94,60,48,2880,13532984.036796728,2885316.658907622
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:21:59,25.0779,121.568881,0.0,212.94,60,49,2940,13532985.92922807,2885315.9214745834
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:22:00,25.077897,121.568881,0.0,212.94,60,50,3000,13532985.92922807,2885315.552758078
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:22:01,25.077894,121.568881,0.0,212.94,60,51,3060,13532985.92922807,2885315.184041582
20250408102110_000009A,2025-04-08 10:21:10,2025:04:08 10:22:02,25.077886,121.568881,0.0,212.94,60,52,3120,13532985.92922807,2885314.200797635
